[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 22:57:47] CPU 9.9% | GPU 17.0% 显存 1357MiB
[2026-08-16 22:58:53] CPU 10.4% | GPU 24.0% 显存 16292MiB
[2026-08-16 22:59:04] CPU 11.4% | GPU 98.0% 显存 24019MiB  <== ALERT GPU 98.0%
[2026-08-16 22:59:15] CPU 7.0% | GPU 99.0% 显存 24105MiB  <== ALERT GPU 99.0%
[2026-08-16 22:59:26] CPU 7.9% | GPU 99.0% 显存 24101MiB  <== ALERT GPU 99.0%
[2026-08-16 22:59:37] CPU 6.2% | GPU 98.0% 显存 24101MiB  <== ALERT GPU 98.0%
[2026-08-16 22:59:48] CPU 14.1% | GPU 99.0% 显存 24102MiB  <== ALERT GPU 99.0%
[2026-08-16 22:59:59] CPU 10.4% | GPU 99.0% 显存 24100MiB  <== ALERT GPU 99.0%
[2026-08-16 23:00:10] CPU 10.7% | GPU 99.0% 显存 24096MiB  <== ALERT GPU 99.0%
[2026-08-16 23:00:21] CPU 11.3% | GPU 99.0% 显存 24092MiB  <== ALERT GPU 99.0%
[2026-08-16 23:00:32] CPU 10.2% | GPU 99.0% 显存 24092MiB  <== ALERT GPU 99.0%
[2026-08-16 23:00:43] CPU 7.3% | GPU 98.0% 显存 24091MiB  <== ALERT GPU 98.0%
[2026-08-16 23:00:54] CPU 9.8% | GPU 99.0% 显存 24092MiB  <== ALERT GPU 99.0%
[2026-08-16 23:01:05] CPU 8.0% | GPU 99.0% 显存 24092MiB  <== ALERT GPU 99.0%
[2026-08-16 23:01:16] CPU 6.5% | GPU 99.0% 显存 24090MiB  <== ALERT GPU 99.0%
[2026-08-16 23:01:27] CPU 10.6% | GPU 99.0% 显存 24085MiB  <== ALERT GPU 99.0%
[2026-08-16 23:01:39] CPU 8.2% | GPU 99.0% 显存 24085MiB  <== ALERT GPU 99.0%
[2026-08-16 23:01:50] CPU 8.5% | GPU 97.0% 显存 24085MiB  <== ALERT GPU 97.0%
[2026-08-16 23:02:12] CPU 7.0% | GPU 99.0% 显存 24086MiB  <== ALERT GPU 99.0%
[2026-08-16 23:02:23] CPU 9.5% | GPU 99.0% 显存 24085MiB  <== ALERT GPU 99.0%
[2026-08-16 23:02:34] CPU 8.4% | GPU 99.0% 显存 24078MiB  <== ALERT GPU 99.0%
